Spiller-Id,Navn,All Clubs,Current Club,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
100614,Lars H Ersland,Haugerud,Haugerud,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100619,Anne Skjævesland,Sola,Sola,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100641,Pål Lerfald,Grong,Grong,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100650,Odd Helge Gåsbakk,Grong,Grong,88.0,108.0,146.0,40.0,39.0,40.0,28.0,8.0,31.0,66.0,38.0,48.0
100661,Tor Stenvaag,Ålesund,Ålesund,112.0,84.0,104.0,35.0,66.0,62.0,27.0,6.0,55.0,78.0,66.0,74.0
100663,Bård Storvik,Grimstad|Bærum,Bærum,344.0,504.0,460.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100664,Geir Storvik,Bærum,Bærum,314.0,408.0,596.0,508.0,396.0,248.0,312.0,0.0,198.0,209.0,98.0,12.0
100665,Tor-Kristian Storvik,Bodø,Bodø,30.0,4.0,4.0,2.0,0.0,0.0,4.0,0.0,1.0,8.0,2.0,70.0
100668,Jostein Straume,Sotra,Sotra,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100677,Robert Sulebakk,Ålesund,Ålesund,160.0,110.0,124.0,150.0,86.0,94.0,50.0,6.0,44.0,68.0,50.0,56.0
100683,Trond Atle Syvertsen,Mandal,Mandal,132.0,78.0,120.0,134.0,88.0,114.0,24.0,0.0,31.0,50.0,36.0,16.0
100697,Håvard Soløy,Nesna,Nesna,80.0,44.0,54.0,28.0,48.0,36.0,26.0,0.0,116.0,66.0,36.0,64.0
100698,Preben Johansen,Horten|Rana,Horten,4.0,1.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100702,Thor Christian Tallaksen,Bygdø|Mandal,Bygdø,88.0,186.0,333.0,452.0,278.0,16.0,114.0,12.0,25.0,232.0,180.0,0.0
100703,Bjørn Roger Granhei,Sandnessjøen,Sandnessjøen,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100707,Andreas Abrahamsen,Grimstad|Otra IL,Otra IL,7.0,30.0,39.0,36.0,16.0,38.0,2.0,0.0,0.0,7.0,0.0,0.0
100712,Allan Thorsen,Nordbyhagen|Haugerud,Haugerud,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100716,Tore Hansen,Nesna,Nesna,34.0,14.0,35.0,21.0,29.0,16.0,19.0,0.0,18.0,20.0,8.0,0.0
100729,Jørgen Rosenlund,Moss|Karmøy,Moss,736.0,728.0,600.0,680.0,512.0,504.0,416.0,248.0,756.0,752.0,836.0,380.0
100740,Tommy Ulveraker,Ålesund,Ålesund,62.0,44.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100764,Per Vestli,Haugerud,Haugerud,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100765,Lars Eirik L. Nilsen,Haugerud,Haugerud,48.0,4.0,33.0,40.0,2.0,53.0,8.0,0.0,45.0,0.0,58.0,20.0
100769,Geir Vik,Pillarguri,Pillarguri,7.0,2.0,4.0,5.0,6.0,6.0,4.0,0.0,1.0,4.0,34.0,13.0
100772,Åsne Lund,Grong,Grong,8.0,4.0,2.0,2.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0
100773,Karl Ødegård,Brodd|Bergen,Bergen,166.0,146.0,340.0,392.0,368.0,232.0,160.0,0.0,105.0,96.0,0.0,0.0
100804,Helge Økland,Askøy,Askøy,80.0,34.0,0.0,24.0,0.0,10.0,17.0,0.0,21.0,4.0,0.0,0.0
100826,Morten Aarhus,Bygdø|Asker,Bygdø,14.0,20.0,8.0,24.0,49.0,34.0,46.0,0.0,24.0,24.0,14.0,8.0
100831,Dan Frede Dahl,Rana,Rana,18.0,14.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
100833,Rene Dahle,Sotra,Sotra,26.0,31.0,18.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100849,Tore Sperre,Ålesund,Ålesund,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
100885,Freddy Guldbjørnsen,Mehamn,Mehamn,214.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100893,Stian Sveberg,Moss,Moss,12.0,11.0,41.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100900,Christiane Dahl Nielsen,Brodd|Stavanger,Stavanger,12.0,14.0,36.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100903,Jarle Grefslie,Horten|Moss,Horten,58.0,46.0,18.0,26.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,18.0
100911,Vegard Tømmerås,Grong,Grong,62.0,65.0,20.0,19.0,14.0,0.0,13.0,0.0,3.0,0.0,0.0,0.0
100921,Synnøve Furholm,Ålesund,Ålesund,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100922,Terje Skauvik,Ålesund,Ålesund,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100923,Bjørn Rakstang,Hamar,Hamar,87.0,52.0,18.0,15.0,1.0,14.0,12.0,0.0,5.0,14.0,0.0,64.0
100951,Jack Oterhals,Bergen,Bergen,20.0,46.0,42.0,38.0,0.0,63.0,0.0,0.0,12.0,1.0,15.0,28.0
100955,Brage Skånøy,Rissa,Rissa,4.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100956,Roger Sandbakk,Sotra,Sotra,8.0,34.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100996,Arben Holstad,Vestre Aker|Herøy,Vestre Aker,64.0,48.0,0.0,39.0,248.0,272.0,220.0,36.0,135.0,104.0,148.0,220.0
101001,Geir Olsen,Kolvereid,Kolvereid,2.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0
101009,Ling Zhuang Zeng,Pillarguri,Pillarguri,56.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,44.0,0.0,0.0
101020,Andre Heim,Sola|Siddis BK,Sola,18.0,8.0,9.0,8.0,27.0,27.0,24.0,0.0,5.0,0.0,0.0,0.0
101028,Konstantin Govatsmark,Vestre Aker,Vestre Aker,16.0,16.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101031,Tormod Thorp,Moss,Moss,64.0,162.0,138.0,96.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101048,Sigve Paulsen,Stavanger,Stavanger,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101060,Edvard Rosenberg,Sandefjord,Sandefjord,128.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101064,David Hsu,OSI|Haugerud,Haugerud,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101075,Jesper Kristensen,Moss,Moss,168.0,200.0,197.0,0.0,26.0,6.0,6.0,0.0,1.0,0.0,9.0,0.0
101080,Elisabeth Thrane,Trondheim,Trondheim,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101091,Lars Valentin,Ålesund,Ålesund,204.0,204.0,180.0,82.0,48.0,38.0,22.0,0.0,18.0,16.0,35.0,3.0
101097,Keith Debnam,Asker,Asker,18.0,10.0,14.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101103,Fredrik Kristensen,Moss,Moss,192.0,129.0,316.0,12.0,76.0,0.0,6.0,6.0,38.0,9.0,24.0,105.0
101106,Thomas Berge,Bygdø|Bergen,Bergen,264.0,228.0,200.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
101111,Inge Rosset,Grong,Grong,20.0,6.0,13.0,14.0,13.0,10.0,17.0,8.0,16.0,24.0,24.0,20.0
101116,Robert Malo,Drammen,Drammen,52.0,44.0,26.0,0.0,30.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
101120,Waheed Ahmed Saeed,Haugerud,Haugerud,10.0,0.0,15.0,8.0,0.0,0.0,12.0,0.0,7.0,0.0,0.0,0.0
101123,John Daae,Asker,Asker,32.0,30.0,62.0,42.0,8.0,0.0,2.0,0.0,22.0,25.0,14.0,3.0
101143,Rune Fartum,Haugerud,Haugerud,10.0,13.0,20.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101147,Vegard Jørgensen,Orkanger,Orkanger,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101151,Dag Johnstad,Hamar,Hamar,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
